la,Current Price (smoothed) GVA (B) per hour worked indices,Productivity Hours,Productivity Jobs
E06000004,107.2," 2,642,403 "," 88,986 "
E06000005,74.0," 1,689,617 "," 54,591 "
E06000006,113.0," 1,901,209 "," 62,485 "
E06000007,95.6," 4,477,599 "," 143,181 "
E06000008,76.9," 2,231,124 "," 73,598 "
E06000009,74.6," 2,022,204 "," 67,218 "
E06000010,80.1," 3,994,246 "," 131,247 "
E06000011,101.8," 3,973,597 "," 140,831 "
E06000012,86.5," 2,046,661 "," 70,121 "
E06000013,112.2," 2,513,477 "," 82,284 "
E06000014,98.8," 3,332,876 "," 118,074 "
E06000015,92.1," 4,620,457 "," 147,400 "
E06000016,90.1," 5,285,550 "," 187,479 "
E06000017,88.5," 536,761 "," 19,125 "
E06000018,80.1," 6,968,949 "," 223,716 "
E06000019,74.5," 2,716,982 "," 96,365 "
E06000020,94.6," 2,865,935 "," 95,711 "
E06000021,81.6," 3,846,388 "," 125,987 "
E06000022,77.6," 2,979,620 "," 103,834 "
E06000023,89.7," 10,216,249 "," 318,435 "
E06000024,83.2," 2,936,676 "," 99,101 "
E06000025,131.4," 5,245,216 "," 174,161 "
E06000026,83.1," 3,969,765 "," 131,218 "
E06000027,68.1," 1,671,355 "," 58,323 "
E06000030,139.5," 3,615,976 "," 116,506 "
E06000031,89.8," 3,775,862 "," 119,658 "
E06000032,89.4," 3,558,470 "," 113,622 "
E06000033,71.7," 2,086,532 "," 74,043 "
E06000034,92.2," 2,891,700 "," 79,766 "
E06000035,94.5," 3,457,482 "," 107,487 "
E06000036,132.6," 1,852,110 "," 58,627 "
E06000037,136.2," 3,427,823 "," 107,228 "
E06000038,123.4," 3,915,414 "," 121,861 "
E06000039,181.7," 2,783,044 "," 87,740 "
E06000040,143.5," 3,000,442 "," 95,992 "
E06000041,156.8," 3,015,707 "," 94,952 "
E06000042,118.8," 5,823,683 "," 181,031 "
E06000043,107.1," 4,795,010 "," 167,369 "
E06000044,104.4," 3,228,209 "," 117,962 "
E06000045,119.5," 3,873,547 "," 123,659 "
E06000046,86.6," 1,605,170 "," 57,226 "
E06000047,84.2," 5,799,513 "," 194,014 "
E06000049,114.9," 6,151,931 "," 204,739 "
E06000050,110.7," 5,609,357 "," 179,870 "
E06000051,84.4," 4,384,166 "," 153,480 "
E06000052,79.6," 8,072,821 "," 267,926 "
E06000053,109.5," 35,942 "," 1,287 "
E06000054,97.3," 6,631,700 "," 247,132 "
E06000055,79.7," 2,884,452 "," 89,521 "
E06000056,90.5," 3,134,381 "," 109,931 "
E06000057,82.6," 3,380,298 "," 118,882 "
E06000058,95.4," 6,076,167 "," 209,269 "
E06000059,87.3," 5,033,159 "," 174,739 "
E06000060,100.7," 8,592,516 "," 277,159 "
E06000061,76.4," 5,064,579 "," 160,801 "
E06000062,90.2," 7,316,313 "," 237,730 "
E06000063,73.3," 4,094,436 "," 135,839 "
E06000064,90.9," 3,405,780 "," 115,475 "
E06000065,92.5," 9,575,311 "," 320,638 "
E06000066,83.5," 7,994,273 "," 270,481 "
E07000008,113.9," 3,408,520 "," 113,726 "
E07000009,92.2," 1,123,010 "," 36,064 "
E07000010,75.3," 1,255,036 "," 38,823 "
E07000011,97.1," 2,514,556 "," 79,829 "
E07000012,107.6," 2,757,052 "," 89,214 "
E07000032,95.5," 1,580,264 "," 52,200 "
E07000033,108.7," 1,102,667 "," 35,243 "
E07000034,90.4," 1,560,109 "," 51,345 "
E07000035,76.4," 1,116,366 "," 36,779 "
E07000036,77.2," 1,260,427 "," 41,362 "
E07000037,76.3," 1,149,206 "," 37,006 "
E07000038,89.0," 998,531 "," 32,005 "
E07000039,137.2," 1,242,384 "," 39,896 "
E07000040,96.0," 1,809,149 "," 61,514 "
E07000041,99.1," 3,152,836 "," 105,470 "
E07000042,76.8," 1,069,358 "," 34,262 "
E07000043,84.9," 1,524,210 "," 54,624 "
E07000044,85.6," 1,356,080 "," 44,849 "
E07000045,78.1," 1,625,005 "," 54,188 "
E07000046,66.6," 844,732 "," 27,788 "
E07000047,58.7," 823,504 "," 26,084 "
E07000061,77.9," 1,470,554 "," 53,118 "
E07000062,78.9," 1,078,240 "," 35,950 "
E07000063,83.4," 1,189,817 "," 41,666 "
E07000064,72.7," 1,060,738 "," 36,813 "
E07000065,85.3," 1,725,407 "," 61,219 "
E07000066,112.9," 2,952,292 "," 93,072 "
E07000067,105.0," 1,847,508 "," 60,644 "
E07000068,126.3," 1,146,200 "," 34,903 "
E07000069,66.7," 884,796 "," 30,832 "
E07000070,93.6," 3,155,664 "," 96,171 "
E07000071,97.2," 2,566,304 "," 89,440 "
E07000072,107.4," 1,994,555 "," 57,871 "
E07000073,81.1," 1,453,206 "," 42,799 "
E07000074,79.7," 775,965 "," 25,474 "
E07000075,92.5," 746,991 "," 25,239 "
E07000076,71.7," 1,682,079 "," 55,479 "
E07000077,77.2," 1,711,414 "," 50,305 "
E07000078,91.1," 2,090,785 "," 70,067 "
E07000079,126.2," 1,541,360 "," 52,377 "
E07000080,126.6," 845,886 "," 29,092 "
E07000081,77.6," 2,123,379 "," 69,075 "
E07000082,86.5," 1,655,884 "," 53,327 "
E07000083,104.6," 1,728,523 "," 55,469 "
E07000084,134.2," 2,713,483 "," 86,366 "
E07000085,99.4," 1,410,877 "," 47,057 "
E07000086,108.7," 2,091,791 "," 67,563 "
E07000087,106.5," 1,482,826 "," 52,886 "
E07000088,90.8," 640,735 "," 22,459 "
E07000089,147.3," 1,154,736 "," 39,871 "
E07000090,98.7," 1,260,376 "," 43,397 "
E07000091,112.7," 2,318,675 "," 81,970 "
E07000092,190.1," 1,877,943 "," 62,284 "
E07000093,96.7," 1,865,712 "," 63,229 "
E07000094,103.8," 2,823,910 "," 95,385 "
E07000095,96.3," 1,198,488 "," 41,122 "
E07000096,69.6," 3,806,503 "," 121,341 "
E07000098,127.3," 1,851,027 "," 61,311 "
E07000099,109.4," 1,837,495 "," 60,948 "
E07000102,162.5," 1,366,235 "," 46,234 "
E07000103,107.6," 2,112,869 "," 68,125 "
E07000105,76.9," 2,147,318 "," 67,764 "
E07000106,78.6," 2,582,977 "," 81,210 "
E07000107,88.8," 2,221,112 "," 66,811 "
E07000108,103.6," 1,366,204 "," 41,701 "
E07000109,91.8," 1,087,021 "," 34,831 "
E07000110,93.5," 2,535,062 "," 83,100 "
E07000111,117.3," 1,847,598 "," 61,302 "
E07000112,83.7," 1,563,395 "," 49,016 "
E07000113,98.0," 1,891,289 "," 60,594 "
E07000114,71.3," 1,653,986 "," 52,673 "
E07000115,109.4," 2,270,047 "," 71,859 "
E07000116,97.8," 1,776,535 "," 60,901 "
E07000117,86.0," 1,209,513 "," 40,328 "
E07000118,86.6," 1,402,151 "," 45,939 "
E07000119,102.8," 1,383,033 "," 44,485 "
E07000120,81.6," 875,232 "," 28,671 "
E07000121,89.4," 1,865,948 "," 62,624 "
E07000122,81.2," 1,052,712 "," 35,345 "
E07000123,80.3," 2,951,183 "," 99,794 "
E07000124,108.4," 959,660 "," 31,258 "
E07000125,84.8," 635,309 "," 20,323 "
E07000126,135.8," 1,548,121 "," 49,236 "
E07000127,97.1," 1,468,672 "," 50,330 "
E07000128,88.9," 1,065,500 "," 34,788 "
E07000129,90.7," 2,071,591 "," 63,442 "
E07000130,85.3," 2,498,195 "," 80,263 "
E07000131,83.1," 1,426,760 "," 45,199 "
E07000132,90.7," 1,420,565 "," 45,607 "
E07000133,88.0," 768,653 "," 25,161 "
E07000134,87.4," 2,345,980 "," 72,095 "
E07000135,64.8," 642,444 "," 20,896 "
E07000136,73.2," 1,007,827 "," 32,297 "
E07000137,88.6," 1,488,142 "," 53,160 "
E07000138,82.0," 1,797,323 "," 63,429 "
E07000139,106.1," 1,396,393 "," 48,905 "
E07000140,89.3," 1,276,012 "," 41,872 "
E07000141,80.0," 1,831,388 "," 63,299 "
E07000142,92.2," 977,418 "," 32,849 "
E07000143,88.2," 1,459,426 "," 54,972 "
E07000144,136.3," 1,640,089 "," 50,873 "
E07000145,79.7," 1,246,218 "," 40,494 "
E07000146,86.1," 1,878,496 "," 68,646 "
E07000147,74.0," 1,051,599 "," 39,173 "
E07000148,74.7," 3,081,939 "," 95,936 "
E07000149,91.1," 1,646,516 "," 61,303 "
E07000170,81.6," 1,870,142 "," 57,895 "
E07000171,71.1," 1,700,248 "," 52,244 "
E07000172,91.1," 1,347,987 "," 40,294 "
E07000173,78.6," 1,158,605 "," 36,115 "
E07000174,67.7," 1,478,627 "," 47,932 "
E07000175,74.8," 1,870,936 "," 59,360 "
E07000176,109.0," 1,598,603 "," 47,989 "
E07000177,95.2," 2,860,767 "," 87,396 "
E07000178,101.4," 3,906,067 "," 122,278 "
E07000179,115.1," 2,171,503 "," 68,926 "
E07000180,115.0," 2,401,645 "," 75,468 "
E07000181,95.5," 1,775,184 "," 59,835 "
E07000192,81.2," 1,377,952 "," 42,106 "
E07000193,94.7," 2,060,557 "," 64,771 "
E07000194,81.3," 1,757,535 "," 57,102 "
E07000195,84.2," 1,486,736 "," 47,922 "
E07000196,86.3," 1,335,785 "," 41,947 "
E07000197,82.8," 2,207,928 "," 71,102 "
E07000198,73.4," 1,153,092 "," 39,359 "
E07000199,101.0," 937,557 "," 30,326 "
E07000200,89.3," 1,045,870 "," 37,056 "
E07000202,98.9," 2,028,673 "," 71,789 "
E07000203,86.5," 1,303,760 "," 43,835 "
E07000207,174.6," 1,980,311 "," 65,355 "
E07000208,86.7," 1,008,354 "," 32,770 "
E07000209,109.2," 2,748,428 "," 94,065 "
E07000210,140.9," 1,571,981 "," 50,406 "
E07000211,131.7," 2,327,334 "," 76,069 "
E08000029,99.9," 4,591,558 "," 145,989 "
E08000030,77.2," 3,196,409 "," 103,456 "
E08000031,85.6," 3,295,370 "," 114,186 "
E08000032,81.6," 6,355,043 "," 219,948 "
E08000033,91.2," 3,116,107 "," 99,235 "
E08000034,77.3," 5,154,988 "," 166,446 "
E08000035,92.5," 16,027,492 "," 514,585 "
E08000036,85.8," 4,932,443 "," 167,454 "
E08000037,77.8," 2,860,222 "," 94,962 "
E09000001,194.9," 23,645,574 "," 647,098 "
E09000002,78.1," 2,183,441 "," 69,353 "
E09000003,96.2," 4,585,589 "," 153,313 "
E09000004,116.5," 2,617,215 "," 84,114 "
E09000005,104.9," 4,338,254 "," 135,347 "
E09000006,98.5," 3,803,854 "," 126,028 "
E09000007,126.2," 13,486,706 "," 397,850 "
E09000008,127.0," 4,001,396 "," 139,284 "
E09000009,99.2," 4,197,426 "," 146,728 "
E09000010,110.2," 3,370,187 "," 118,975 "
E09000011,93.6," 2,930,003 "," 97,933 "
E09000012,101.3," 5,420,731 "," 167,406 "
E09000013,119.5," 4,651,962 "," 147,540 "
E09000014,72.0," 3,062,125 "," 99,333 "
E09000015,94.8," 2,838,107 "," 83,664 "
E09000016,99.3," 2,993,955 "," 101,015 "
E09000017,92.6," 6,447,381 "," 200,823 "
E09000018,131.1," 5,307,770 "," 165,224 "
E09000019,132.9," 8,407,184 "," 256,562 "
E09000020,103.7," 4,664,403 "," 147,638 "
E09000021,94.6," 2,480,887 "," 86,126 "
E09000022,124.9," 5,230,521 "," 178,470 "
E09000023,71.8," 2,547,996 "," 87,759 "
E09000024,106.4," 2,553,982 "," 83,823 "
E09000025,77.3," 4,765,290 "," 146,398 "
E09000026,94.7," 2,697,476 "," 88,331 "
E09000027,122.2," 2,864,221 "," 92,389 "
E09000028,105.0," 10,262,154 "," 310,867 "
E09000029,78.2," 2,812,672 "," 96,830 "
E09000030,174.6," 10,272,054 "," 294,874 "
E09000031,89.4," 2,592,147 "," 87,683 "
E09000032,83.3," 4,256,524 "," 140,600 "
E09000033,153.9," 26,661,416 "," 770,539 "
N09000001,97.5," 1,795,160 "," 63,432 "
N09000002,76.7," 2,780,906 "," 85,189 "
N09000003,92.9," 8,327,053 "," 246,532 "
N09000004,83.8," 1,398,477 "," 47,611 "
N09000005,89.7," 1,794,967 "," 68,584 "
N09000006,92.4," 1,344,388 "," 47,686 "
N09000007,90.0," 1,973,046 "," 67,999 "
N09000008,93.7," 1,386,829 "," 48,898 "
N09000009,96.5," 2,028,853 "," 66,161 "
N09000010,83.9," 1,984,327 "," 65,884 "
N09000011,91.7," 1,184,447 "," 47,666 "
S12000005,126.2," 452,624 "," 14,751 "
S12000006,90.2," 1,981,784 "," 66,146 "
S12000008,80.8," 1,189,632 "," 41,453 "
S12000010,88.1," 1,042,671 "," 37,634 "
S12000011,88.1," 671,475 "," 23,606 "
S12000013,72.0," 387,843 "," 14,027 "
S12000014,92.6," 2,107,652 "," 67,512 "
S12000017,92.5," 3,679,457 "," 126,820 "
S12000018,68.2," 774,568 "," 26,921 "
S12000019,84.9," 991,857 "," 34,954 "
S12000020,107.6," 1,189,005 "," 42,757 "
S12000021,98.8," 1,255,353 "," 43,315 "
S12000023,116.3," 250,859 "," 12,007 "
S12000026,83.0," 1,459,627 "," 49,643 "
S12000027,100.3," 302,999 "," 14,005 "
S12000028,83.6," 1,408,468 "," 48,889 "
S12000029,91.1," 3,806,790 "," 122,744 "
S12000030,91.6," 1,442,323 "," 48,584 "
S12000033,97.8," 5,117,594 "," 160,484 "
S12000034,94.5," 3,623,574 "," 111,039 "
S12000035,95.5," 1,175,395 "," 43,955 "
S12000036,123.4," 10,602,628 "," 366,016 "
S12000038,93.1," 2,428,184 "," 83,423 "
S12000039,90.7," 1,065,587 "," 34,084 "
S12000040,104.7," 2,472,209 "," 78,952 "
S12000041,98.3," 1,188,415 "," 40,414 "
S12000042,81.9," 2,250,029 "," 75,178 "
S12000045,88.4," 824,604 "," 27,116 "
S12000047,91.3," 4,491,077 "," 149,114 "
S12000048,97.5," 2,159,323 "," 70,724 "
S12000049,90.5," 13,388,413 "," 444,328 "
S12000050,102.5," 4,096,125 "," 131,506 "
W06000001,79.7," 783,057 "," 27,028 "
W06000002,69.3," 1,808,095 "," 61,700 "
W06000003,66.8," 1,393,511 "," 49,303 "
W06000013,90.0," 1,836,381 "," 60,335 "
W06000014,76.3," 1,365,020 "," 46,245 "
W06000015,93.1," 7,232,986 "," 232,444 "
W06000016,85.5," 2,638,220 "," 85,938 "
W06000018,84.7," 1,796,947 "," 58,159 "
W06000019,75.1," 736,006 "," 23,633 "
W06000020,75.5," 1,183,783 "," 38,680 "
W06000021,90.9," 1,099,640 "," 38,859 "
W06000022,85.3," 2,387,864 "," 78,367 "
W06000023,63.1," 1,879,011 "," 64,329 "
W06000024,72.8," 684,605 "," 22,929 "
